,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Score - Final,Difference
0,0,Intercept,-0.8145140900128789,,Intercept,329.92122509859763,330.0,330.0,0.07877490140236887
1,1,grade:A,0.43941187001690946,4.19807578830975e-07,grade,35.38971661239676,35.0,35.0,-0.3897166123967608
2,2,grade:B,0.5527507915646244,1.4643409352514427e-21,grade,44.51790041538312,45.0,45.0,0.48209958461688274
3,3,grade:C,0.5083887505611696,8.406966217580627e-21,grade,40.945033666473094,41.0,41.0,0.05496633352690594
4,4,grade:D,0.4383981929740343,4.021485896817449e-17,grade,35.30807625233442,35.0,35.0,-0.3080762523344234
5,5,grade:E,0.3051156314390584,5.433809828320334e-11,grade,24.573655077240502,25.0,25.0,0.42634492275949754
6,6,grade:F,0.11865936121430871,0.014072342806519837,grade,9.556685773237783,10.0,10.0,0.443314226762217
7,7,home_ownership:OWN,0.12461832462109619,4.754587802510996e-10,home_ownership,10.036613696581629,10.0,10.0,-0.03661369658162883
8,8,home_ownership:MORTGAGE,0.11870503428691016,1.9260323231350485e-21,home_ownership,9.56036422893385,10.0,10.0,0.4396357710661505
9,9,addr_state:NM_VA,0.02622542080482797,0.41039790619208016,addr_state,2.1121646310738043,2.0,2.0,-0.11216463107380426
10,10,addr_state:NY,0.0442630840517586,0.0660074863724066,addr_state,3.564896872089857,4.0,4.0,0.43510312791014316
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.0694430230736502,0.0025521899581794926,addr_state,5.592859626641487,6.0,6.0,0.40714037335851305
12,12,addr_state:CA,0.05101364542260715,0.01542963578401418,addr_state,4.1085791669712615,4.0,4.0,-0.10857916697126146
13,13,addr_state:UT_KY_AZ_NJ,0.07666964291380407,0.001963345148806613,addr_state,6.174883112258131,6.0,6.0,-0.17488311225813113
14,14,addr_state:AR_MI_PA_OH_MN,0.14532109780057414,8.210777348102274e-11,addr_state,11.703990765581286,12.0,12.0,0.2960092344187135
15,15,addr_state:RI_MA_DE_SD_IN,0.1073360872327622,0.00029842974880709875,addr_state,8.644722568156327,9.0,9.0,0.3552774318436729
16,16,addr_state:GA_WA_OR,0.18145695581994006,7.785881446764582e-12,addr_state,14.614330385678377,15.0,15.0,0.38566961432162294
17,17,addr_state:WI_MT,0.25024490396007976,1.22151430646556e-07,addr_state,20.154431045531076,20.0,20.0,-0.15443104553107645
18,18,addr_state:TX,0.2217890860342107,9.097757070654651e-18,addr_state,17.862632846425274,18.0,18.0,0.13736715357472562
19,19,addr_state:IL_CT,0.25902032939403363,4.77461833023736e-19,addr_state,20.86119351703394,21.0,21.0,0.13880648296606068
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.32860617239547585,9.025887695379224e-27,addr_state,26.465555693142214,26.0,26.0,-0.465555693142214
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5112062204811146,4.755606228295064e-22,addr_state,41.17194938913431,41.0,41.0,-0.17194938913431201
22,22,verification_status:Not Verified,0.10883149072507611,3.748872999247032e-14,verification_status,8.765160611425712,9.0,9.0,0.23483938857428832
23,23,verification_status:Source Verified,0.10701490608649994,2.7948659857350904e-16,verification_status,8.618855015358928,9.0,9.0,0.3811449846410717
24,24,purpose:credit_card,0.40301692006799317,9.192722400062322e-47,purpose,32.45851003219002,32.0,32.0,-0.45851003219001996
25,25,purpose:debt_consolidation,0.3070758824697268,9.461947838758904e-33,purpose,24.731531396015967,25.0,25.0,0.26846860398403294
26,26,purpose:oth__med__vacation,0.30249557458882903,1.1875286360255403e-22,purpose,24.362638771662738,24.0,24.0,-0.3626387716627377
27,27,purpose:major_purch__car__home_impr,0.3585674161106948,6.871188111772262e-31,purpose,28.87859911956524,29.0,29.0,0.12140088043475927
28,28,initial_list_status:w,0.2906054623182181,6.2988660076134e-129,initial_list_status,23.405023075640894,23.0,23.0,-0.40502307564089435
29,29,term:36,0.11560620058255006,5.903476068284875e-17,term,9.310787797095475,9.0,9.0,-0.3107877970954753
30,30,emp_length:1,0.06012940887055015,0.019502623538085993,emp_length,4.842752062928608,5.0,5.0,0.15724793707139195
31,31,emp_length:2-4,0.0868586809366471,3.352538304278225e-06,emp_length,6.995496283603443,7.0,7.0,0.004503716396556889
32,32,emp_length:5-6,0.030681989750821797,0.14786913766155227,emp_length,2.471091466746814,2.0,2.0,-0.471091466746814
33,33,emp_length:7-9,0.04163869956200845,0.0436561087824208,emp_length,3.3535320235010984,3.0,3.0,-0.35353202350109836
34,34,emp_length:10,0.11888736790394677,7.612872846024832e-11,emp_length,9.575049164585657,10.0,10.0,0.424950835414343
35,35,int_rate:<9.548,1.4192937416857276,3.3986055150139405e-86,int_rate,114.30825322509666,114.0,114.0,-0.30825322509666364
36,36,int_rate:9.548-12.025,0.7904242203828676,2.4128132395722535e-83,int_rate,63.65983959843386,64.0,64.0,0.3401604015661377
37,37,int_rate:12.025-15.74,0.46875667427717477,1.205946326413208e-43,int_rate,37.753112728157305,38.0,38.0,0.2468872718426951
38,38,int_rate:15.74-20.281,0.13569794932275567,1.1271081538097044e-06,int_rate,10.9289536744442,11.0,11.0,0.07104632555580004
39,39,inq_last_6mths:0,1.11168904858328,5.813350153962475e-54,inq_last_6mths,89.53413204097849,90.0,90.0,0.4658679590215087
40,40,inq_last_6mths:1-2,0.9407182969476049,3.958649823273976e-39,inq_last_6mths,75.76434824073165,76.0,76.0,0.23565175926835025
41,41,inq_last_6mths:3-6,0.7008683439553814,8.494722379937183e-22,inq_last_6mths,56.447114353616065,56.0,56.0,-0.44711435361606533
42,42,pub_rec:3-4,0.4580677388660582,5.972583959860155e-07,pub_rec,36.89223840750441,37.0,37.0,0.10776159249559214
43,43,pub_rec:>=5,0.5111537951761693,0.007233381991129666,pub_rec,41.16772711656516,41.0,41.0,-0.16772711656516037
44,44,acc_now_delinq:>=1,0.16113323495656043,0.0820258232171121,acc_now_delinq,12.977481745615963,13.0,13.0,0.022518254384037206
45,45,total_rev_hi_lim:5K-10K,0.11268990564474869,3.014390849544258e-06,total_rev_hi_lim,9.075912823410794,9.0,9.0,-0.07591282341079442
46,46,total_rev_hi_lim:10K-20K,0.1287519173089389,1.733790601860026e-08,total_rev_hi_lim,10.369528403251248,10.0,10.0,-0.36952840325124825
47,47,total_rev_hi_lim:20K-30K,0.16478289352060121,2.3264635205979352e-11,total_rev_hi_lim,13.271420965574768,13.0,13.0,-0.2714209655747677
48,48,total_rev_hi_lim:30K-40K,0.2044283122047097,1.020445034839877e-13,total_rev_hi_lim,16.464416485146025,16.0,16.0,-0.4644164851460246
49,49,total_rev_hi_lim:40K-55K,0.25477234135949706,1.298463520830322e-17,total_rev_hi_lim,20.519065543319172,21.0,21.0,0.4809344566808278
50,50,total_rev_hi_lim:55K-95K,0.3058805476120813,5.761257823262332e-20,total_rev_hi_lim,24.635260528623682,25.0,25.0,0.3647394713763177
51,51,total_rev_hi_lim:>95K,0.49073176683156133,2.2681509005124747e-19,total_rev_hi_lim,39.52296090727227,40.0,40.0,0.47703909272772904
52,52,annual_inc:20K-30K,-0.07461645429544875,0.07368733458508903,annual_inc,-6.009521709179518,-6.0,-6.0,0.009521709179518112
53,53,annual_inc:30K-40K,-0.013787547110418694,0.7309034106020752,annual_inc,-1.1104328724643022,-1.0,-1.0,0.11043287246430222
54,54,annual_inc:40K-50K,0.07948648349121776,0.04696730314516549,annual_inc,6.4017481484100545,6.0,6.0,-0.40174814841005446
55,55,annual_inc:50K-60K,0.14128383744079615,0.0004913829003989521,annual_inc,11.37883455162305,11.0,11.0,-0.3788345516230507
56,56,annual_inc:60K-70K,0.21536123945971503,2.1225481732649593e-07,annual_inc,17.344941622720704,17.0,17.0,-0.34494162272070383
57,57,annual_inc:70K-80K,0.284303572731536,2.009953217037995e-11,annual_inc,22.897476279996273,23.0,23.0,0.10252372000372745
58,58,annual_inc:80K-90K,0.3597279524775521,4.037316403911549e-16,annual_inc,28.97206735732559,29.0,29.0,0.027932642674411312
59,59,annual_inc:90K-100K,0.3800102985374154,1.105410501005951e-16,annual_inc,30.60558371924249,31.0,31.0,0.3944162807575111
60,60,annual_inc:100K-120K,0.4548511030189107,1.5094068247619716e-23,annual_inc,36.63317432925944,37.0,37.0,0.3668256707405604
61,61,annual_inc:120K-140K,0.5379669317190978,2.6356536003574934e-25,annual_inc,43.327225683836964,43.0,43.0,-0.32722568383696427
